'06/07/2010',33
'12/27/2014',71
'05/17/2010',41
'05/17/2013',44
'04/18/2011',29
'01/20/2010',37
'07/10/2010',23
'05/09/2013',67
'05/09/2010',15
'04/18/2014',79
'07/22/2014',87
'08/27/2010',37
'03/12/2010',8
'02/21/2010',15
'10/18/2014',151
'03/12/2015',98
'03/28/2015',127
'07/31/2012',48
'06/22/2015',92
'07/31/2011',15
'07/16/2014',64
'12/06/2012',52
'05/30/2013',47
'05/30/2010',9
'05/08/2012',63
'03/11/2013',62
'05/08/2015',130
'06/14/2012',49
'06/14/2011',53
'03/11/2010',35
'12/30/2010',8
'12/06/2014',122
'02/11/2013',22
'07/22/2013',22
'08/19/2011',26
'10/14/2012',20
'07/24/2012',60
'07/24/2015',70
'03/17/2012',40
'03/17/2011',18
'04/01/2012',26
'05/31/2012',52
'04/01/2011',17
'05/31/2015',68
'04/01/2014',146
'03/31/2013',16
'03/14/2011',20
'04/27/2012',33
'02/28/2014',81
'04/27/2011',52
'12/10/2014',86
'12/10/2011',52
'12/10/2012',42
'02/19/2014',65
'06/13/2015',121
'02/19/2011',10
'06/13/2012',46
'02/19/2012',12
'06/23/2015',99
'11/14/2013',84
'06/23/2010',23
'06/23/2013',25
'02/12/2015',64
'02/12/2010',13
'02/12/2013',60
'04/08/2010',33
'10/30/2013',87
'05/01/2013',72
'07/03/2015',87
'09/11/2013',65
'04/04/2014',74
'09/20/2010',49
'11/25/2015',82
'04/04/2011',31
'11/25/2010',17
'04/04/2012',49
'11/24/2015',121
'03/01/2010',17
'01/03/2010',5
'11/26/2012',30
'04/20/2015',72
'04/20/2012',37
'11/26/2014',46
'02/15/2010',24
'04/29/2012',21
'08/12/2015',53
'09/08/2010',32
'04/29/2015',158
'08/12/2010',31
'09/08/2013',43
'12/30/2015',100
'05/19/2012',46
'10/25/2011',48
'05/19/2011',45
'12/13/2011',44
'05/19/2014',101
'09/29/2011',47
'09/29/2012',65
'08/23/2012',59
'08/08/2010',14
'08/23/2011',55
'09/25/2010',44
'04/30/2012',30
'02/17/2015',52
'02/17/2012',34
'08/25/2012',41
'10/08/2011',62
'11/07/2012',14
'08/25/2015',103
'11/07/2011',42
'12/14/2010',17
'12/14/2015',92
'11/06/2010',34
'09/12/2012',71
'08/15/2014',64
'08/15/2011',11
'09/12/2014',96
'11/14/2015',183
'03/24/2015',104
'06/06/2010',8
'06/06/2015',173
'12/31/2011',23
'09/22/2015',142
'12/16/2014',138
'12/16/2011',32
'06/12/2014',93
'07/29/2011',25
'05/18/2013',73
'09/17/2010',23
'11/23/2012',23
'11/23/2015',96
'05/10/2011',44
'08/21/2015',60
'05/10/2012',43
'08/21/2010',25
'06/15/2011',40
'08/21/2013',63
'09/17/2013',69
'08/26/2011',6
'08/26/2012',24
'11/24/2013',35
'08/14/2011',5
'10/17/2015',160
'07/13/2012',20
'07/13/2011',35
'09/05/2015',88
'10/07/2013',82
'02/28/2013',53
'03/05/2016',162
'10/07/2010',26
'09/21/2011',45
'01/06/2013',17
'04/03/2013',65
'01/06/2016',113
'01/30/2014',48
'07/10/2013',31
'09/19/2011',31
'07/10/2015',72
'03/31/2015',121
'04/03/2010',20
'04/05/2012',29
'04/05/2011',46
'08/04/2010',33
'08/04/2015',81
'06/15/2012',42
'04/06/2013',58
'04/06/2010',51
'04/06/2015',103
'09/22/2012',66
'01/10/2010',10
'10/24/2010',31
'07/25/2014',53
'07/25/2011',20
'05/16/2011',52
'06/05/2010',33
'05/06/2014',117
'06/05/2013',78
'05/06/2013',58
'09/24/2012',48
'09/24/2011',35
'03/30/2011',27
'08/11/2011',47
'03/30/2012',29
'02/25/2014',80
'02/25/2013',46
'04/09/2013',31
'05/13/2010',30
'10/27/2014',113
'09/06/2010',15
'05/13/2013',70
'10/27/2011',45
'10/14/2011',37
'09/27/2015',94
'10/04/2015',53
'02/26/2013',43
'01/18/2014',83
'02/26/2010',5
'01/18/2011',13
'02/26/2015',79
'01/18/2012',41
'07/15/2012',10
'07/15/2015',96
'04/09/2015',94
'08/05/2012',11
'01/13/2015',69
'12/29/2013',7
'08/05/2011',28
'02/09/2014',28
'12/29/2014',57
'03/25/2015',109
'01/13/2013',32
'05/24/2013',24
'05/24/2015',41
'12/02/2014',77
'12/02/2013',53
'09/10/2015',64
'09/10/2013',90
'07/05/2015',22
'08/10/2015',90
'08/10/2010',28
'07/05/2013',9
'08/10/2013',44
'02/07/2016',66
'12/01/2012',42
'02/07/2015',92
'02/07/2010',11
'12/01/2014',86
'01/14/2011',11
'01/14/2012',29
'07/13/2013',39
'02/06/2014',30
'02/06/2011',8
'02/06/2012',20
'05/21/2014',155
'05/21/2011',56
'05/21/2012',36
'06/17/2013',37
'09/27/2013',78
'04/11/2015',120
'06/17/2010',38
'10/29/2012',3
'06/17/2015',89
'10/04/2013',62
'08/31/2013',46
'01/31/2015',76
'01/31/2010',14
'01/31/2013',57
'01/16/2015',72
'09/27/2010',35
'01/16/2012',37
'05/22/2015',99
'05/22/2010',39
'08/18/2013',23
'05/22/2013',50
